dataset,method,task,disagreement_reduction_pct,score_improvement,variance_reduction_pct
synth_classification_easy,LessGreedyHybridTree,classification,0.17241379310344365,-0.024666666666666615,
synth_classification_easy,BootstrapVariancePenalizedTree,classification,-0.3448275862069017,-0.07466666666666666,
synth_classification_easy,RobustPrefixHonestTree,classification,0.5172413793103453,-0.04466666666666652,
synth_classification_easy,CentroidTree-CART-10,classification,4.3103448275862055,-0.0086666666666666,
synth_classification_easy,CentroidTree-LessGreedy-10,classification,0.0,-0.02400000000000002,
synth_classification_easy,CentroidTree-CART-20,classification,4.1379310344827624,-0.010666666666666713,
synth_classification_easy,CentroidTree-LessGreedy-20,classification,-0.8620689655172469,-0.024666666666666615,
synth_classification_easy,RandomForest-20,classification,2.4137931034482687,0.03466666666666662,
synth_classification_hard,LessGreedyHybridTree,classification,19.326241134751772,-0.08066666666666655,
synth_classification_hard,BootstrapVariancePenalizedTree,classification,5.496453900709205,-0.08066666666666655,
synth_classification_hard,RobustPrefixHonestTree,classification,3.9007092198581548,-0.04266666666666663,
synth_classification_hard,CentroidTree-CART-10,classification,-0.7092198581560241,-0.015999999999999903,
synth_classification_hard,CentroidTree-LessGreedy-10,classification,27.6595744680851,-0.07199999999999995,
synth_classification_hard,CentroidTree-CART-20,classification,0.3546099290780194,-0.019999999999999907,
synth_classification_hard,CentroidTree-LessGreedy-20,classification,15.2482269503546,-0.07199999999999995,
synth_classification_hard,RandomForest-20,classification,2.1276595744680873,0.03600000000000014,
synth_regression_friedman,LessGreedyHybridTree,regression,,-0.07097385000997958,33.12211222922975
synth_regression_friedman,BootstrapVariancePenalizedTree,regression,,-0.21400683774154772,48.80086152563181
synth_regression_friedman,RobustPrefixHonestTree,regression,,-0.11769709312503673,38.112202237985535
synth_regression_friedman,CentroidTree-CART-10,regression,,-0.005835136567855059,2.36838650146133
synth_regression_friedman,CentroidTree-LessGreedy-10,regression,,-0.11016985908070287,50.20600172103315
synth_regression_friedman,CentroidTree-CART-20,regression,,-0.00571949141689676,0.22452928966159455
synth_regression_friedman,CentroidTree-LessGreedy-20,regression,,-0.1403379551996779,49.07555813917745
synth_regression_friedman,RandomForest-20,regression,,0.2338051633734317,30.535124415752968
